outlet,count,total_count
Telegram & Gazette,35,35
Women's Health,35,35
"WGHP-TV (High Point, NC)",35,35
Town & Country,35,35
Staten Island Advance,35,35
"KFOR-TV (Oklahoma City, OK)",35,35
"KYTV-TV / KSPR-TV (Springfield, MO)",35,35
"WCSC-TV (Charleston, SC)",35,35
"WSMV-TV (Nashville, TN)",35,35
"WVUE-TV (New Orleans, LA)",35,35
Cheddar News,34,34
"KWCH-TV (Wichita, KS)",34,34
Daily Kos,34,34
"WKRG-TV (Mobile, AL)",34,34
The Intercept,34,34
HYPEBEAST,34,34
Crain's Chicago Business,34,34
Sarasota Herald-Tribune,34,34
"WLKY-TV (Louisville, KY)",34,34
The Daily Dot,34,34
"KOB-TV (Albuquerque, NM)",34,34
Reason,34,34
Bloomberg Tax,34,34
"KHON-TV (Honolulu, HI)",34,34
"WTEN-TV (Albany, NY)",34,34
"WREG-TV (Memphis, TN)",33,33
"WYFF-TV (Greenville, SC)",33,33
"KIRO-TV (Seattle, WA)",33,33
"WGRZ-TV (Buffalo, NY)",33,33
Industry Dive,33,33
"WOWT-TV (Omaha, NE)",33,33
The Toledo Blade,33,33
"WVEC-TV (Norfolk, VA)",33,33
"WKBW-TV (Buffalo, NY)",33,33
Scranton Times-Tribune,33,33
Eater,33,33
Engadget,33,33
Kiplinger,33,33
"WNJU-TV (New York, NY)",33,33
Men's Health,33,33
"The Gazette (Colorado Springs, CO)",33,33
Dazed Magazine,33,33
"KOKI-TV (Tulsa, OK)",33,33
"KOIN-TV (Portland, OR)",33,33
The Kitchn,33,33
"WHNT-TV (Huntsville, AL)",33,33
Oregon Public Broadcasting,33,33
"WISN-TV (Milwaukee, WI)",33,33
"WFXT-TV (Boston, MA)",33,33
"KGMB-TV (Honolulu, HI)",32,32
Investor's Business Daily,32,32
"WIBW-TV (Topeka, KS)",32,32
Golf Digest,32,32
"KVEA-TV (Universal City, CA)",32,32
"KSNV-TV (Las Vegas, NV)",32,32
"WMAR-TV (Baltimore, MD)",32,32
"WIAT-TV (Birmingham, AL)",32,32
"Spectrum News 1 (Milwaukee, WI)",32,32
"WKOW-TV (Madison, WI)",32,32
"WDBJ-TV (Roanoke, VA)",32,32
"WVLT-TV (Knoxville, TN)",32,32
Byrdie,32,32
The Daily Wire,32,32
"KOCO-TV (Oklahoma City, OK)",32,32
"WBNS-TV (Columbus, OH)",31,31
Well+Good,31,31
"KFSN-TV (Fresno, CA)",31,31
"WCAX-TV (Burlington, VT)",31,31
"WBAY-TV (Green Bay, WI)",31,31
The New Republic,31,31
"KSEE-TV (Fresno, CA)",31,31
Investopedia,31,31
"WSLS-TV (Roanoke, VA)",31,31
"WLOX-TV (Biloxi, MS)",31,31
The Forward,31,31
El Diario Nueva York,30,30
"KCRG-TV (Cedar Rapids, IA)",30,30
"KSNT-TV (Topeka, KS)",30,30
"KOLN/KGIN-TV (Lincoln, NE)",30,30
"KESQ-TV (Thousand Palms, CA)",30,30
"Spectrum News 1 (Louisville, Kentucky)",30,30
"WJHL-TV (Johnson City, TN)",30,30
"WWBT-TV (Richmond, VA)",30,30
"KATU-TV (Portland, OR)",30,30
"WBIR-TV (Knoxville, TN)",30,30
"WUOM-FM (Ann Arbor, MI)",30,30
"WCIV-TV (Mount Pleasant, SC)",30,30
Hartford Courant,30,30
"WAFB-TV (Baton Rouge, LA)",30,30
"WNYT-TV (Albany, NY)",30,30
Fort Myers News-Press,30,30
Lincoln Journal Star,30,30
"WLOS-TV (Asheville, NC)",30,30
"WAFF-TV (Huntsville, AL)",30,30
The Journal News,30,30
Duluth News Tribune,30,30
"WGNO-TV (New Orleans, LA)",30,30
Money,30,30
"WUPL-TV (New Orleans, LA)",30,30
Foreign Policy Magazine,29,29
"WVTM-TV (Birmingham, AL)",29,29
Yahoo News,29,29
"WXII-TV (Winston Salem, NC)",29,29
"WSAW-TV (Wausau, WI)",29,29
"WBRZ-TV (Baton Rouge, LA)",29,29
"Sun Journal (Lewiston, ME)",29,29
Los Angeles Daily News,29,29
Business of Fashion (BOF),29,29
Tallahassee Democrat,29,29
"WWLP-TV (Chicopee, MA)",29,29
Anchorage Daily News,29,29
Runner's World,29,29
American Banker,29,29
"KUT-FM (Austin, TX)",29,29
Quartz,29,29
The Day,29,29
Popular Science,29,29
Seven Days,28,28
Transport Topics,28,28
"WKYT-TV (Lexington, KY)",28,28
Bloomberg Government,28,28
HGTV,28,28
Gizmodo,28,28
"WBOC-TV (Salisbury, MD)",28,28
"WMBF-TV (Myrtle Beach, SC)",28,28
MPR News,28,28
PopMatters,28,28
"KTHV-TV (Little Rock, AR)",28,28
"KSL-AM (Salt Lake City, UT)",28,28
The State,28,28
"WFIE-TV (Evansville, IN)",28,28
"WHNS-TV (Greenville, SC)",28,28
TMZ,28,28
"KSNW-TV (Wichita, KS)",28,28
